,VISIT_AREA_NM,SI,Dong_Eup,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,X_COORD,Y_COORD
195,고흐의정원,서귀포,성산읍,3,90.0,0.0,1.25,126.8437184,33.37337564
196,한림민속5일시장,제주,한림읍,4,37.5,0.0,0.25,126.2741627,33.42018579
197,우도산호해변,제주,우도면,1,35.0,0.4166666666666667,3.0,126.9430478,33.50240607
198,사라봉공원,제주,건입동,1,40.0,0.3333333333333333,0.5,126.545546,33.51728425
199,제주4.3평화공원,제주,봉개동,2,60.0,0.4,0.8,126.6179268,33.45126835
200,제주조천스위스마을,제주,조천읍,7,72.85714285714286,0.0,1.0,126.6767734,33.49390832
201,제주카약올레,제주,애월읍,5,37.5,0.25,2.25,126.3104746,33.46233117
202,제주자연생태공원,서귀포,성산읍,1,60.0,0.0,1.4,126.8237765,33.4401587
203,왈종미술관,서귀포,동홍동,3,37.5,0.0,0.75,126.5736673,33.24529312
204,제주신화월드 신화쇼핑스트리트,서귀포,안덕면,4,42.0,0.6,2.6,126.3172811,33.30686701
205,추사유배지,서귀포,대정읍,2,37.5,0.25,0.75,126.2781963,33.25040562
206,도두항,제주,도두일동,1,52.5,0.0,0.0,126.46655,33.50739799
207,제주불빛정원,제주,애월읍,6,65.0,0.0,2.833333333333333,126.4091788,33.4222944
208,대한불교조계종천왕사,제주,노형동,2,41.25,0.125,1.375,126.4950368,33.40777553
209,노리매,서귀포,대정읍,1,67.5,0.0,2.25,126.2873393,33.28311468
210,제주도서핑샵 문서프,제주,애월읍,5,120.0,0.0,0.25,126.3083646,33.45008311
211,카페 귤한가,제주,한림읍,4,84.0,0.0,2.4,126.2630686,33.38844215
