TRAVEL_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,sido_gungu_list
d_d007467,2,여,20,0,1,1,2,2,4,3,2,7,2.0,2,4,['서귀포+성산읍']
d_d012487,2,여,30,0,1,1,1,4,1,1,7,4,3.0,3,1,"['서귀포+안덕면', '서귀포+색달동']"
d_d000630,1,남,30,0,2,1,7,1,7,7,7,1,1.0,3,1,"['서귀포+중문동', '서귀포+색달동', '제주+용담2동', '서귀포+남원읍', '서귀포+서귀동']"
d_d007630,22,여,30,0,4,1,3,4,3,6,2,6,2.0,4,0,"['제주+이도일동', '제주+조천읍', '제주+일도일동']"
d_d005917,22,남,30,0,2,3,3,2,2,4,4,5,1.0,2,1,['제주+이도2동']
d_d009419,28,여,20,0,2,1,1,1,4,1,1,7,2.0,4,0,['서귀포+성산읍']
d_d002220,22,여,20,0,2,1,2,3,4,5,2,7,2.0,5,1,['제주+조천읍']
d_d000564,21,여,30,0,4,5,5,4,4,3,4,5,7.0,2,0,['제주+한림읍']
d_d004418,4,여,30,0,2,2,4,4,4,4,6,5,1.0,2,5,['제주+애월읍']
d_d002895,2,여,30,0,3,1,4,6,6,4,4,4,2.0,6,3,"['서귀포+안덕면', '서귀포+상효동']"
d_d003471,21,여,40,0,7,1,4,1,1,5,1,2,3.0,4,2,['서귀포+성산읍']
d_d002015,21,여,20,0,2,2,1,3,6,6,1,6,3.0,4,1,"['서귀포+안덕면', '서귀포+서귀동', '서귀포+남원읍', '서귀포+토평동']"
d_d005520,13,여,50,0,2,1,2,2,2,2,2,2,1.0,5,0,"['서귀포+동홍동', '서귀포+서귀동']"
d_d012399,1,여,20,0,3,4,3,5,3,5,2,7,2.0,1,1,['서귀포+성산읍']
d_d012341,2,여,40,0,1,7,1,3,5,2,6,6,2.0,4,0,"['제주+연동', '제주+애월읍', '제주+삼도2동']"
d_d009002,6,여,30,0,4,6,2,4,3,6,3,6,3.0,1,1,"['서귀포+안덕면', '서귀포+토평동']"
d_d004874,22,남,20,0,7,1,1,1,1,7,7,7,2.0,2,2,"['서귀포+서귀동', '서귀포+대정읍']"
d_d002428,21,여,30,0,3,2,3,3,2,4,6,6,2.0,1,2,"['서귀포+서귀동', '제주+일도일동']"
d_d002359,21,여,20,0,3,5,2,2,2,4,5,6,2.0,5,2,['제주+용담삼동']
d_d005424,28,여,20,0,6,2,4,2,2,3,5,2,4.0,3,1,"['서귀포+중문동', '서귀포+대포동']"
d_d004363,2,여,20,0,7,7,4,7,7,6,1,4,2.0,2,0,['서귀포+안덕면']
d_d001275,6,여,20,0,5,3,1,4,6,6,2,6,2.0,1,0,"['제주+이도일동', '제주+용담2동', '제주+애월읍']"
d_d000956,5,남,20,0,2,2,2,4,2,3,3,5,7.0,3,7,"['서귀포+중문동', '서귀포+서귀동']"
d_d000484,25,여,30,0,2,2,4,6,4,1,7,4,3.0,2,2,['서귀포+안덕면']
d_d004211,6,남,20,0,4,1,4,4,3,5,6,3,7.0,3,0,['서귀포+안덕면']
d_d004738,12,여,30,0,6,3,5,4,5,6,6,2,1.0,2,3,"['제주+구좌읍', '서귀포+동홍동', '제주+노형동', '제주+우도면']"
d_d007782,26,여,20,0,2,6,5,4,5,3,6,5,3.0,1,1,['서귀포+대정읍']
d_d007799,21,여,30,0,3,3,4,3,4,5,2,6,2.0,3,8,"['서귀포+중문동', '제주+애월읍', '제주+조천읍', '제주+한림읍']"
d_d006122,2,남,20,0,5,2,3,3,3,4,3,5,10.0,1,1,"['제주+구좌읍', '제주+조천읍', '제주+일도일동']"
d_d007019,10,여,20,0,4,1,3,3,4,5,4,3,2.0,2,1,['서귀포+안덕면']
d_d001340,22,여,20,0,4,5,2,4,4,2,4,6,1.0,4,1,"['제주+구좌읍', '서귀포+성산읍', '제주+조천읍', '제주+일도일동']"
d_d000878,22,남,30,0,4,5,3,3,4,5,5,6,2.0,1,3,"['서귀포+안덕면', '서귀포+하효동', '제주+구좌읍', '서귀포+신효동', '서귀포+중문동', '제주+용강동', '제주+일도일동', '서귀포+서귀동', '제주+한림읍']"
d_d005992,23,남,30,0,1,1,6,3,1,5,6,2,3.0,1,1,['서귀포+성산읍']
d_d001304,22,여,20,0,1,1,4,6,1,1,7,7,2.0,2,1,['제주+구좌읍']
d_d005117,2,여,20,0,5,6,3,4,4,4,4,6,3.0,2,1,['서귀포+상효동']
d_d010447,2,남,30,0,2,2,3,2,4,5,2,6,2.0,2,0,"['서귀포+안덕면', '제주+애월읍', '제주+한림읍']"
