TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
b_b001981,2208180004,2,0,,돼지고기 구매,N,1,
c_c003306,2210080003,1,0,,식당방문예약(13시50분에 오라고 했음),N,4,
d_d001434,2209180002,3,2,,수영장놀이,Y,5,1
d_d007844,2210310003,5,0,,,,,
a_a000794,2209040004,1,1,,새우,Y,1,
c_c002263,2209180003,3,0,,진도개홍보관 관람 테마파크 구경,N,5,2
d_d004266,2210150007,5,1,,,,,
d_d000841,2208200008,2,1,,가스충전,N,5,
d_d002070,2209290002,7,0,,,,,
d_d010660,2211030001,6,1,,운동,N,1,
d_d001434,2209190005,5,0,,,,,
d_d000595,2208280007,5,0,,,,,
d_d000203,2209050006,7,3,,,,,
d_d000630,2209030004,6,0,,제주공항 -> 김포공항 항공기 탑승,Y,5,
d_d000564,2208190008,5,2,,,,,
d_d000872,2208260001,2,1,,마음샌드,N,5,
d_d000030,2208150005,2,0,,리얼초코;리얼치즈;옥수수우유,Y,5,
d_d007552,2210280007,1,0,,카페모카,N,1,
d_d010305,2211030002,4,0,,,,,
d_d011147,2211050006,1,0,,치즈버거,N,2,
d_d001737,2209300007,5,0,,,,,
d_d001083,2209070005,5,1,,,,,
d_d003024,2210040002,3,0,,정방폭포,Y,1,2
d_d001893,2210030005,1,0,,커피,Y,4,
d_d000494,2209070001,2,3,,녹차티백,N,5,
d_d004065,2210160004,6,3,,숙박비,Y,5,
d_d009157,2210280005,5,1,,,,,
d_d010414,2210310003,3,1,,귤 따기 체험,N,1,1
c_c002578,2209240009,3,0,,빅오쇼 관람,Y,1,2
a_a008679,2210290013,5,0,,,,,
d_d001187,2209280005,1,2,,김밥,Y,2,
d_d002747,2210120003,4,1,,,,,
d_d000965,2208240007,1,0,,메밀팥빙수;아메리카노,N,1,
d_d002838,2210090009,5,0,,,,,
d_d000288,2208220002,1,0,,카이막 브레드 세트 한라봉 요구르트,N,1,
d_d000084,2208150004,6,1,,렌트카번납,N,5,
d_d000268,2208240002,5,2,,,,,
d_d007770,2210280004,3,0,,주상절리대 산책,N,1,2
d_d001927,2210220005,7,0,,,,,
d_d001756,2209290002,6,4,,목욕,N,1,
d_d001504,2209260004,1,3,,,,4,
d_d001832,2209280010,1,0,,칵테일(피치크러시;롱티;퍼지네이블),N,4,
d_d000025,2208120001,4,0,,,,,
b_b000271,2208130002,1,0,,충남식당 내장국밥;섞어국밥 순대리아 순대볶음 떡볶이 김밥,N,1,
a_a000734,2208240001,1,0,,속노랑간짜장;순무탕수육;해물짬뽕;볶음밥,Y,1,
d_d004618,2210190004,7,0,,,,,
d_d001725,2210140004,6,1,,청산도 배 이용,N,5,
d_d000584,2208210004,2,0,,그림책,N,5,
d_d000487,2209020007,3,0,,천지연 폭포 구경,N,1,2
d_d001586,2210030003,1,0,,칼국수;고기,N,1,
d_d000122,2208120002,3,1,,이중섭 미술관 관람,N,1;1,2
d_d011470,2211070005,2,0,,가방;육포;라면;찰떡파이;술;술잔,N,1,
d_d001653,2209240001,1,1,,지사제;위약,N,2,
d_d000672,2208220002,1,0,,전복돌솥밥,N,1,
d_d003049,2210240004,5,2,,,,,
d_d003234,2210210003,4,0,,,,,
d_d002064,2210150004,4,0,,,,,
d_d007634,2210280001,5,3,,,,,
d_d006204,2210290005,1,0,,전복 돌솥밥 전복 뚝배기,N,1,
d_d001122,2209110005,6,1,,플로깅(쓰레기 줍기),N,5,
d_d002972,2210150004,7,0,,,,,
d_d003427,2210060003,5,1,,,,,
d_d001682,2210020003,1,1,,떡볶이 튀김 순대,N,1,
d_d002611,2210030001,2,0,,아베베 베이커리 도넛,N,1,
d_d007848,2211050009,1,0,,흑돼지,N,1,
d_d000794,2208230011,5,0,,,,,
d_d000543,2208200005,2,0,,하르방,N,1,
c_c003946,2210010002,6,3,,노래방,N,5,
d_d009886,2210310001,1,0,,고등어조림;갈치조림;음료수,Y,1,
d_d009718,2211020008,6,2,,수영,N,5,
d_d000790,2209010008,1,0,,청귤에이드;콜드브루,N,1,
d_d006267,2210220008,2,0,,술;야채,Y,1,
d_d010436,2211010009,1,0,,아이스아메리카노 2잔,N,1,
d_d001804,2210110002,1,0,,멘치카츠 단품;볼카츠샌드,N,1,
d_d000366,2208260007,5,0,,,,,
d_d004588,2210110009,1,0,,바베큐,N,4,
d_d002485,2210090003,1,0,,고기국수,N,1,
d_d004031,2210150004,5,0,,,,,
d_d002631,2210190005,3,0,,낚시체험,Y,1,1
d_d000572,2209030006,4,0,,,,,
d_d004325,2210110002,1,0,,정식,N,1,
d_d004324,2210150001,1,0,,아메리칸 버거 피즈버거 치즈버거,Y,1,
d_d002961,2210150008,1,0,,새우크림깔조네,N,1,
d_d001288,2209250006,5,1,,,,,
c_c002969,2209220004,1,0,,독일가정식;굴라쉬;슈니첼;슈바인학센;수제밀맥주;레몬에이드,N,1,
d_d002978,2210050002,7,1,,,,,
d_d000767,2208250005,1,0,,보말칼국수,N,4,
d_d003234,2210200001,1,0,,카페라떼;브륄레라떼,N,1,
d_d004753,2210300006,1,0,,아메리카노;빵 2개 포장,N,1,
a_a001714,2210150003,1,0,,쭈꾸미 볶음,N,1,
d_d005317,2210190007,1,0,,목살삼겹살고추장불고기곰기밥,N,4,
d_d001393,2209120001,1,0,,우거지해장국;선지해장국,N,1,
d_d007863,2210280006,2,1,,땅콩브리틀,N,1,
d_d006007,2210160002,4,0,,,,,
d_d004763,2210310007,5,0,,,,,
d_d003304,2210060005,5,1,,,,,
d_d001234,2209140002,1,0,,아메리카뉴;베이컨치즈토스트,Y,1,
d_d010582,2211020002,99,1,,,,,
d_d001949,2210040001,2,0,,황금향. 귤. 라면. 초컬릿,N,1,
c_c003062,2210010003,4,1,,,,,
d_d012322,2211110005,4,0,,,,,
d_d005149,2210100006,1,0,,고기국수 2인;비빔국수 1인,N,1,
b_b000212,2208130003,1,0,,곰탕,N,1,
d_d009564,2210290005,1,0,,랍스터세트;커피2;도너츠;아이스크림;삼다수;맥주;오징어;타코,N,1,
d_d002481,2210120002,7,0,,,,,
d_d001999,2210250005,1,0,,생고기 구이,N,1,
d_d002217,2210140004,5,0,,,,,
b_b004543,2210020004,4,0,,,,,
b_b000151,2208250010,4,0,,,,,
d_d002687,2210040003,2,1,,자차보험,Y,5,
d_d004945,2210180006,3,1,,자연경관 관람,Y,5,2
c_c000100,2208140001,5,3,,,,,
d_d000741,2208220003,1,0,,수제버거.함박스테이크,N,1,
c_c001107,2209080002,4,1,,,,,
d_d000898,2208260006,1,0,,수박주스,N,1,
b_b006786,2210190002,7,0,,,,,
d_d006215,2210180002,2,1,,레몬향 파스,Y,5,
d_d003105,2210140008,1,0,,양꼬치;맥주,Y,1,
c_c000311,2208210004,3,1,,우수영;명량대첩공원 및 박물관 관람,N,5,
d_d000274,2208260003,4,0,,,,,
d_d001727,2210280006,1,0,,아이스아메리카노;크로와상,N,1,
d_d004356,2210220007,1,0,,모듬딤섬;소룡포;탕수육;짜장면;소주,N,1,
d_d004953,2210120003,1,0,,새우볶음밥,N,1,
d_d006740,2210240003,1,0,,손칼국수 1그릇;김밥 1줄,N,1,
d_d001355,2209170002,7,3,,,,,
d_d003536,2210080012,2,0,,엽서,N,1,
d_d001588,2209230006,1,0,,보말죽 2그릇,N,1,
d_d002306,2210140003,3,1,,꽃과 정원구경,N,5,2
d_d000898,2208250001,1,1,,왕새우튀김우동,N,1,
d_d009099,2210270008,1,0,,블루베리식빵;치즈빵,Y,1,
d_d002115,2210040012,5,0,,,,,
d_d001323,2209130003,2,0,,집게. 마롱튜브. 펜홀더. 마스킹테이프,N,1,
d_d001606,2210030002,1,0,,아이스 아메리카노;당근케이크,N,1,
d_d004449,2210280005,1,0,,아이스아메리카노. 피넛버터쿠키,N,1,
d_d003101,2210190006,4,1,,,,,
