TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
b_b002806,1,통행료,0,자가용(승용/승합/트럭 등등),6,,,,,19400,
b_b012138,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,7000,
b_b005422,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,18600,
b_b004408,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,9000,
b_b005116,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,10600,
b_b004830,9,교통비,1,항공기,1,5248601528,네이버파이낸셜 주식회사,2022-09-27 13:49:00.000,1,158000,비행기표
b_b007708,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,50000,
c_c003679,50,교통비,0,버스 + 지하철,2,,,,,5000,
b_b002395,50,교통비,0,버스 + 지하철,2,,,,,26300,
b_b003303,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,21800,
b_b004245,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,40000,
b_b005937,1,주차비,0,자가용(승용/승합/트럭 등등),2,,,,,5000,
b_b012278,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
b_b008115,50,교통비,0,버스 + 지하철,2,,,,,22400,
b_b005545,7,교통비,1,KTX/SRT(고속열차),2,3148210024,한국철도공사,2022-10-11 19:21:00.000,1,10500,기차표 
b_b000347,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,10500,
b_b004725,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,40000,
b_b000676,1,주유비,14,자가용(승용/승합/트럭 등등),2,2228126803,원더풀(주),2022-08-21 11:23:00.000,1,60000,주유비
b_b003865,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,39600,
b_b000525,4,교통비,2,택시,2,,,2022-08-19 19:28:00.000,1,7500,택시비
b_b007152,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,20000,
b_b014434,11,교통비,1,관광버스,1,,,2022-10-29 06:50:00.000,1,46900,우리지금영월-로컬여행
