TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
a_a002018,이비스앰배서더호텔 인사동,1,1,Y,2022-09-18 00:00:00.000,2022-09-19 00:00:00.000,1,1018543274,(주)앰배스텔이비스앰배서더인사동,서울 종로구 삼일대로30길 31,,4100145,1111013300,2022-09-18 16:29:00.000,1,79943,호텔비
a_a000721,국립유명산자연휴양림,0,9,Y,2022-08-20 00:00:00.000,2022-08-21 00:00:00.000,4,,,경기 가평군 설악면 유명산길 79-53,,,,,1,84000,
a_a005215,레몬하우스,0,8,Y,2022-10-07 00:00:00.000,2022-10-08 00:00:00.000,2,,,수레안길 41번길 15-4,,,,,1,280000,
a_a011358,하센영인호텔,1,1,Y,2022-10-27 00:00:00.000,2022-10-28 00:00:00.000,2,1138521083,엔에이치엔한국사이버결제 주식회사,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-10-23 00:00:00.000,3,57500,명동(충무로) 영인 호텔
a_a001081,콘래드 서울,0,1,Y,2022-08-20 00:00:00.000,2022-08-21 00:00:00.000,1,,,서울 영등포구 국제금융로 10,서울 영등포구 여의도동 23-1,,,,,0,
a_a015837,호텔더메이,2,1,Y,2022-11-04 00:00:00.000,2022-11-05 00:00:00.000,3,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-11-05 23:07:00.000,1,106000,
a_a011486,호텔AMA,1,1,Y,2022-10-28 00:00:00.000,2022-10-29 00:00:00.000,1,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-10-27 00:00:00.000,1,49000,안양AMA드라이브인HOTEL
a_a006074,앰배서더 서울풀만호텔,1,1,Y,2022-10-08 00:00:00.000,2022-10-09 00:00:00.000,2,,앰배서더 서울 풀만 호텔,서울 중구 동호로 287,,3005001,1114014400,2022-09-07 23:25:00.000,1,359000,[슈퍼 얼리버드]이그제큐티브킹1KING
a_a013688,인게스트하우스,1,7,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,1,5278800686,주식회사 카카오페이,경기 성남시 분당구 판교역로 166,경기 성남시 분당구 백현동 532,3179025,4113511000,2022-10-06 10:18:00.000,1,30000,
a_a008217,웨스틴조선서울,0,1,Y,2022-10-14 00:00:00.000,2022-10-15 00:00:00.000,1,,,소공로 106,,,,,4,400000,
a_a009620,성남 호텔 DK,2,1,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,2,5278800686,주식회사 카카오페이,경기 성남시 분당구 판교역로 152,경기 성남시 분당구 백현동 537,3179025,4113511000,2022-10-29 19:52:00.000,1,115000,
a_a000471,호텔포코,1,1,Y,2022-09-04 00:00:00.000,2022-09-05 00:00:00.000,1,2208742885,(주)야놀자,,,,,2022-08-30 18:05:00.000,1,89600,호텔포코 [초강력특가]스탠다드 더블(넷플릭스 스트리밍 서비스/개인ID필요)
