TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
c_c011964,소노문 단양,0,4,Y,2022-11-04 00:00:00.000,2022-11-05 00:00:00.000,2,,,충북 단양군 단양읍 삼봉로 187-17,충북 단양군 단양읍 상진리 4-1,,,,4,174000,
c_c000957,소노벨 천안,0,4,Y,2022-08-29 00:00:00.000,2022-08-30 00:00:00.000,4,,,종합휴양지로 200,,,,,1,210000,
c_c003095,안녕여수,1,3,Y,2022-10-02 00:00:00.000,2022-10-03 00:00:00.000,6,,"안녕,여수 펜션",전남 여수시 오동도로 61-16,전남 여수시 수정동 343-10,3282059,4613010200,2022-07-26 21:42:00.000,1,238000,펜션비
c_c013085,한화리조트 대천파로스,2,4,Y,2022-11-04 00:00:00.000,2022-11-05 00:00:00.000,3,4978500706,(주)타이드스퀘어투어비스,서울 중구 남대문로 78,,3101001,1114012600,2022-10-31 17:13:00.000,1,137000,한화리조트 대천 파로스
c_c002605,발리모텔,0,2,Y,2022-10-02 00:00:00.000,2022-10-03 00:00:00.000,4,,,충북 충주시 동량면 김생로 60,충북 충주시 동량면 용교리 283-2,,,,1,80000,
c_c005489,한화리조트 대천파로스,0,4,Y,2022-10-15 00:00:00.000,2022-10-16 00:00:00.000,6,,,충남 보령시 해수욕장3길 11-10,충남 보령시 신흑동 2017,,,,1,139000,
c_c006453,스플라스리솜,10,3,,,,4,,스플라스리솜,,,,,,1,84500,숙박비
c_c002243,전주호텔꽃심,0,1,Y,2022-09-17 00:00:00.000,2022-09-18 00:00:00.000,2,,,전북 전주시 완산구 팔달로 171,전북 전주시 완산구 경원동1가 102,,,,1,146000,
c_c003047,속리산자연펜션,0,3,Y,2022-10-01 00:00:00.000,2022-10-02 00:00:00.000,6,,,경북 상주시 화북면 청화로 53-14,경북 상주시 화북면 용유리 408,,,,1,250000,
c_c012197,레지던스호텔라미아,1,1,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,5,3142489410,레지던스호텔라미아,대전 서구 둔산로51번길 42,대전 서구 둔산동 1356,4298326,3017011200,2022-10-29 16:09:00.000,1,147648,
c_c000368,공주한옥마을,1,6,Y,2022-09-03 00:00:00.000,2022-09-04 00:00:00.000,4,,공주한옥마을,,,,,2022-09-03 13:19:00.000,1,120000,무릉관504
c_c000388,괴산솔베이캠핑장,1,5,Y,2022-09-03 00:00:00.000,2022-09-04 00:00:00.000,1,3788800992,캠핑톡주식회사,서울 서초구 남부순환로 2497,서울 서초구 서초동 1422-7,2000003,1165010800,2022-08-11 13:43:00.000,1,45000,[솔베이]데크사이트 차박가능 / 소나무그늘
c_c008139,태평양스파찜질방,0,11,N,2022-10-22 00:00:00.000,2022-10-23 00:00:00.000,1,,,전북 정읍시 중앙로 11,전북 정읍시 연지동 316-29,,,,1,13000,
c_c009500,소노문 단양,0,4,Y,2022-10-26 00:00:00.000,2022-10-27 00:00:00.000,4,,,충북 단양군 단양읍 삼봉로 187-17,충북 단양군 단양읍 상진리 4-1,,,,1,110000,
c_c003473,그리핀베이 호텔,1,1,Y,2022-09-30 00:00:00.000,2022-10-01 00:00:00.000,1,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-09-27 20:40:00.000,1,60000,그리핀베이호텔
c_c002667,호텔마루 단양,1,1,Y,2022-10-02 00:00:00.000,2022-10-03 00:00:00.000,2,5248601528,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2022-09-16 19:22:00.000,1,100000,숙박비
