COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
2,b_b006288,2,1,1,1
3,b_b006433,2,1,1,1
3,b_b001942,7,1,3,1
6,b_b000536,7,1,4,1
6,b_b003847,9,2,4,2
3,b_b001313,2,2,2,1
1,b_b004361,1,1,4,1
1,b_b018607,8,2,3,1
2,c_c003679,7,2,4,3
5,b_b004851,2,2,5,1
3,b_b012345,7,2,4,1
1,b_b003125,7,2,4,3
1,b_b001886,10,1,4,3
2,b_b002801,7,2,4,1
4,b_b002425,7,1,4,3
2,b_b004752,1,2,4,1
2,b_b008376,2,1,1,1
2,b_b009256,7,2,3,3
1,b_b003906,2,2,4,1
3,b_b002948,2,1,1,1
1,b_b007483,1,1,4,1
1,b_b001746,8,1,3,1
1,b_b009674,1,2,6,1
1,b_b012553,7,2,3,1
8,b_b001459,7,2,3,3
3,b_b003812,4,2,8,1
2,b_b001336,2,2,3,2
11,b_b010272,6,1,2,1
2,b_b004928,9,2,4,1
3,b_b011776,7,2,3,2
2,b_b004912,9,1,3,3
1,b_b011155,1,1,5,1
3,b_b004525,11,2,3,1
1,b_b004658,1,1,4,1
2,b_b002085,1,2,6,1
1,b_b001740,1,1,6,1
7,b_b000868,2,2,1,1
3,b_b008376,2,2,1,1
1,b_b005352,7,2,3,1
5,b_b002927,7,1,1,1
1,b_b004008,8,1,4,1
1,b_b002511,3,2,8,1
4,b_b005182,7,1,7,1
2,b_b006735,2,2,1,1
1,b_b008434,8,1,4,1
1,b_b000643,7,2,4,1
3,b_b004269,2,2,1,1
1,b_b004984,1,1,5,1
1,b_b002622,10,2,5,1
4,b_b006280,2,2,1,1
7,b_b003924,6,2,7,1
1,b_b006157,7,1,3,1
1,b_b009386,7,2,3,1
2,b_b000318,5,1,7,1
1,b_b007555,7,1,4,1
4,b_b011696,2,2,1,1
1,b_b011821,8,2,3,1
2,b_b001956,7,2,3,1
1,b_b006246,1,2,4,1
1,b_b010300,8,1,3,1
4,b_b007994,6,1,1,1
1,b_b000901,3,1,6,1
1,b_b003089,2,1,1,1
2,b_b004820,7,1,3,1
1,b_b005561,8,2,3,1
1,b_b010882,8,2,3,1
1,b_b015146,8,1,4,1
1,b_b004215,1,1,5,1
2,b_b004458,1,2,7,1
1,b_b009590,8,2,3,1
1,b_b000026,1,2,5,1
1,b_b010021,7,2,3,1
4,b_b003395,7,1,3,3
1,b_b005674,7,1,4,1
1,b_b006862,7,2,3,3
3,b_b000894,2,2,2,1
4,b_b006750,7,1,4,1
1,b_b007697,3,2,7,1
1,b_b011227,8,2,4,1
2,b_b009500,7,2,4,1
1,b_b014367,1,1,4,1
3,b_b004174,2,2,1,1
3,b_b003377,7,2,3,1
6,b_b000856,5,2,4,1
1,b_b000848,3,1,5,1
1,b_b006599,1,2,6,1
2,b_b003389,2,1,1,1
1,b_b007328,1,1,5,1
2,b_b005674,7,1,4,1
1,b_b004181,1,2,4,1
1,b_b004208,8,1,3,1
1,b_b003809,5,1,3,1
2,b_b015860,2,1,2,1
2,b_b008549,2,2,4,1
1,b_b004891,8,1,4,1
1,b_b018585,3,2,6,3
1,b_b000935,7,1,4,1
1,b_b014090,1,1,4,1
1,b_b006349,1,2,5,1
2,b_b014710,7,2,3,3
2,b_b011351,2,1,3,1
2,b_b001014,2,1,2,1
3,b_b000194,2,2,1,1
1,b_b003968,2,2,4,1
1,b_b012435,7,2,3,1
1,b_b011021,1,2,6,1
5,b_b000024,6,1,1,1
1,b_b006151,7,1,3,1
1,b_b005432,2,2,3,1
1,b_b000168,7,2,3,1
2,b_b016463,3,2,6,1
2,b_b006785,9,1,4,1
3,b_b000648,7,1,3,3
1,b_b000619,8,1,4,1
2,b_b006859,5,2,4,1
