TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
d_d001386,D01,d001386,1;2;21;5;6;,2022-09-16,2022-09-19,대중교통 등,40세 이상 3인 이상 친구,1;2;21;5;6;,11;2;21
d_d001031,D01,d001031,2;23;24;28;6;,2022-09-06,2022-09-10,대중교통 등,39세 이하 부모 동반 여행,2;23;24;28;6;,1;27;6
d_d010401,D01,d010401,2;,2022-10-31,2022-11-04,대중교통 등,39세 이하 부모 동반 여행,2;,6;2;1
d_d009980,D01,d009980,1;24;6;,2022-10-29,2022-11-02,대중교통 등,,1;24;6;,13;6;1
d_d002768,D01,d002768,1;2;28;4;6;,2022-10-13,2022-10-17,대중교통 등,39세 이하 커플 여행,1;2;28;4;6;,6;2;21
d_d006042,D01,d006042,23;1;23;,2022-10-22,2022-10-24,대중교통 등,,23;1;23;,23;1;24
d_d000463,D01,d000463,1;21;24;26;3;,2022-08-25,2022-08-30,자가용,40세 이상 3인 이상 친구,1;21;24;26;3;,21;26;2
c_c001068,D02,c001068,1;22;24;26;27;,2022-09-02,2022-09-05,대중교통 등,,1;22;24;26;27;,8;2;27
d_d004780,D01,d004780,6;22;2;26;,2022-10-21,2022-10-24,자가용,39세 이하 커플 여행,6;22;2;26;,22;2;6
d_d000447,D01,d000447,22;24;26;27;6;,2022-09-03,2022-09-06,자가용,,22;24;26;27;6;,26;1;24
d_d002703,D01,d002703,28;6;,2022-10-19,2022-10-21,대중교통 등,,28;6;,28;6;23
d_d004390,D01,d004390,22;26;6;7;,2022-10-09,2022-10-12,자가용,,22;26;6;7;,22;7;6
d_d010362,D01,d010362,1;2;3;4;5;,2022-11-03,2022-11-06,자가용,39세 이하 커플 여행,1;2;3;4;5;,4;22;1
d_d004816,D01,d004816,13;6;11;21;22;24;27;,2022-10-11,2022-10-12,자가용,,13;6;11;21;22;24;27;,1;2;22
d_d000685,D01,d000685,1;21;7;,2022-08-22,2022-08-26,대중교통 등,39세 이하 커플 여행,1;21;7;,21;1;7
c_c001359,D02,c001359,22;23;4;,2022-08-20,2022-08-22,자가용,,22;23;4;,4;3;22
d_d005305,D01,d005305,2;22;24;4;6;,2022-10-21,2022-10-24,자가용,,2;22;24;4;6;,21;22;24
d_d012484,D01,d012484,1;11;21;22;26;,2022-11-11,2022-11-12,,,1;11;21;22;26;,11;28;21
a_a001693,D02,a001693,10;22;23;5;,2022-09-29,2022-10-01,자가용,,10;22;23;5;,5;22;23
d_d003695,D01,d003695,2;22;6;25;2;22;9;22;22;25;2;2;2;,2022-10-22,2022-10-25,자가용,,2;22;6;25;2;22;9;22;22;25;2;2;2;,2;6;23
d_d001733,D01,d001733,22;6;,2022-09-28,2022-09-29,자가용,,22;6;,2;21;22
d_d002408,D01,d002408,1;2;22;,2022-10-16,2022-10-19,대중교통 등,,1;2;22;,23;2;21
d_d002465,D01,d002465,1;12;2;5;9;,2022-10-08,2022-10-11,대중교통 등,39세 이하 커플 여행,1;12;2;5;9;,22;25;12
b_b005641,D02,b005641,21;22;26;3;6;,2022-10-08,2022-10-10,자가용,경상권에 거주하는 40세 이상 3인 이상 친구,21;22;26;3;6;,22;21;26
b_b001015,D02,b001015,23;24;28;4;,2022-08-20,2022-08-25,자가용,,23;24;28;4;,4;24;28
