COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,c_c008888,1,2,4,1
1,c_c003941,1,2,5,1
3,c_c012851,2,1,1,1
1,c_c000181,3,1,4,1
4,c_c000180,5,2,3,3
2,c_c002776,2,1,1,1
1,c_c000370,10,2,4,1
1,c_c009010,1,2,4,1
1,c_c012189,8,1,4,1
1,c_c006845,3,2,7,1
3,c_c003019,10,1,6,1
1,c_c012336,3,1,7,1
1,c_c004565,8,1,3,1
1,c_c004643,1,2,5,1
3,c_c002518,2,2,1,1
1,c_c006539,2,1,4,1
3,c_c013652,3,2,6,1
1,c_c010029,2,2,3,1
1,c_c005869,7,1,3,1
2,c_c003213,2,1,1,1
1,c_c014243,1,2,3,1
1,c_c006097,7,1,4,1
1,c_c012184,3,2,8,1
12,c_c002777,10,2,6,1
1,c_c006087,1,1,5,1
1,c_c009313,8,2,3,1
1,c_c006368,1,1,5,1
3,c_c004305,2,1,2,1
1,c_c006099,1,2,4,1
10,c_c000363,6,2,4,3
2,c_c000078,2,2,2,1
1,c_c012175,1,1,4,1
2,c_c012385,2,2,2,1
1,c_c014228,3,2,6,1
2,c_c000438,7,1,3,1
4,c_c003164,7,1,4,3
3,c_c009463,7,2,3,1
2,c_c011588,3,1,8,3
2,c_c004535,2,2,2,1
1,c_c012431,8,2,4,1
1,a_a001707,1,2,7,1
6,c_c008168,7,2,5,1
3,c_c001204,7,2,4,1
11,c_c008794,11,2,3,1
1,c_c004840,1,1,7,1
1,b_b001859,1,1,4,1
1,c_c008803,2,2,4,1
1,c_c001141,1,2,4,1
4,c_c000323,7,2,4,3
2,c_c000318,7,2,3,3
2,c_c003375,2,1,1,1
1,c_c011514,1,2,5,1
2,c_c014325,2,2,2,1
1,c_c009484,7,1,5,1
3,c_c001363,2,1,1,1
2,c_c000730,2,2,3,1
1,c_c004222,10,1,6,1
1,c_c000373,2,2,5,1
3,c_c000271,5,2,4,1
3,c_c005166,10,2,6,3
2,c_c012181,2,2,1,1
2,c_c014337,2,2,1,1
2,c_c000106,1,2,6,1
1,c_c004683,1,1,8,1
1,c_c005247,1,1,4,1
1,b_b005242,8,2,3,1
1,c_c012412,7,2,6,3
2,c_c004426,2,1,1,1
1,c_c014262,1,2,7,1
1,c_c010871,1,1,4,1
1,c_c008870,1,1,5,1
1,c_c005518,1,1,8,1
1,c_c006349,8,1,4,1
5,c_c002186,6,2,8,1
1,c_c003120,9,1,6,1
1,c_c002072,7,2,4,1
2,c_c011699,2,1,1,1
1,c_c008097,1,2,4,1
1,c_c013203,7,1,4,1
1,c_c004174,1,2,4,1
5,c_c003210,7,2,4,3
2,b_b007925,2,2,2,1
1,c_c003605,8,1,4,1
1,c_c013620,8,2,3,1
1,c_c000106,2,1,3,1
1,c_c003289,8,1,3,1
7,c_c004222,10,2,6,1
1,c_c000659,7,2,3,1
7,c_c004229,6,1,5,1
2,c_c001024,2,1,4,1
1,c_c000005,8,2,4,1
1,c_c005003,2,1,1,1
2,c_c002591,5,2,3,1
1,c_c002952,1,1,5,1
2,c_c001890,2,2,2,1
2,c_c000150,2,1,1,1
1,c_c014342,10,2,5,1
2,c_c002024,1,1,7,3
1,c_c003800,1,1,4,1
1,c_c009372,8,2,3,3
1,c_c009387,1,1,5,1
1,c_c012037,8,2,3,1
3,c_c000064,6,2,2,1
2,c_c009176,2,1,2,1
1,c_c013735,3,1,6,1
8,c_c004222,10,2,6,1
2,c_c001589,9,2,3,1
1,c_c002293,1,2,4,1
1,c_c003127,7,1,4,1
1,c_c000148,1,2,4,2
4,c_c000152,11,2,5,1
1,c_c004955,1,1,4,1
6,c_c009126,11,1,4,1
2,c_c003108,2,2,2,1
3,c_c006539,5,2,4,1
1,c_c002896,8,1,4,1
1,a_a007416,7,2,4,1
1,c_c011135,1,1,5,1
1,c_c014259,2,1,1,1
2,c_c012235,2,2,1,1
1,c_c014318,3,2,7,1
3,c_c000834,7,2,6,1
2,c_c002172,5,2,4,1
2,c_c008688,2,2,2,1
1,c_c002560,7,1,6,3
2,c_c001530,5,2,3,2
2,c_c001392,7,1,3,1
2,c_c009010,2,2,1,1
1,c_c001567,1,1,7,1
1,c_c009243,3,2,6,1
1,c_c009126,3,1,7,1
2,c_c012166,6,1,1,3
1,c_c001149,1,1,7,1
1,c_c003466,7,2,3,1
3,c_c000586,2,2,1,1
1,c_c012780,7,2,4,1
1,c_c002377,8,2,4,1
3,c_c004980,2,2,1,1
6,c_c005111,10,2,6,1
3,c_c001822,7,2,3,1
1,c_c000896,7,1,4,1
1,c_c000168,1,1,6,3
3,c_c012801,7,2,4,3
1,c_c001390,1,1,5,1
2,c_c001253,7,2,3,1
11,c_c007585,10,2,2,1
4,c_c004247,6,1,1,1
1,c_c002095,7,2,7,1
1,c_c012266,1,1,6,1
2,c_c007573,2,2,2,1
3,c_c001311,3,2,8,1
2,c_c001065,7,2,3,1
3,c_c006680,6,2,1,1
10,c_c008794,11,2,3,1
1,c_c011332,1,1,5,1
1,c_c009770,8,2,3,1
1,c_c012334,1,1,5,1
1,c_c009045,9,2,6,1
1,c_c005342,8,1,4,1
13,c_c004041,9,1,6,3
