COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,b_b000950,7,2,3,1
1,d_d009068,8,1,3,1
1,d_d004061,7,2,3,1
1,d_d001521,1,2,4,1
1,d_d000091,3,1,8,1
4,d_d009315,5,2,4,1
3,a_a006980,7,1,3,3
2,a_a009733,5,2,3,1
1,d_d004735,1,1,3,1
1,d_d001799,5,2,5,1
1,c_c001984,1,2,4,1
1,d_d002915,1,1,5,1
1,d_d000173,1,2,5,1
1,d_d001495,1,1,5,1
2,d_d006832,9,2,7,1
1,b_b000746,7,1,4,1
3,d_d008184,2,1,2,1
3,d_d001502,3,2,7,1
3,d_d002010,2,1,4,1
4,d_d000283,6,1,5,2
3,d_d000010,2,1,1,1
3,d_d003650,2,1,1,1
1,d_d004619,9,2,3,3
1,d_d000213,1,2,5,1
5,d_d001224,2,2,4,1
3,d_d004159,6,2,1,1
1,d_d000331,2,2,3,3
1,d_d012332,8,2,5,1
5,d_d001062,10,1,3,3
1,d_d000041,2,2,6,1
1,a_a015106,8,1,4,1
1,d_d007655,1,1,5,1
2,d_d000079,2,1,2,1
1,d_d004550,8,1,3,1
1,d_d002479,7,1,4,1
3,d_d000044,7,2,4,1
7,d_d001519,2,2,4,1
2,d_d001901,3,2,6,1
2,d_d009219,3,2,5,1
1,a_a000541,8,1,3,1
1,b_b003774,1,2,6,1
1,d_d002558,5,2,3,1
3,c_c002117,2,2,3,1
1,d_d012054,7,2,3,1
1,d_d004399,1,1,5,1
1,d_d004266,1,1,5,1
4,d_d009681,5,2,3,1
1,d_d000139,3,1,5,1
3,a_a001696,7,2,3,1
1,d_d000063,1,2,5,1
2,d_d009054,9,2,4,1
2,d_d007486,7,2,3,1
1,d_d004595,9,2,3,1
3,d_d009609,2,2,1,1
11,d_d006832,9,2,4,1
1,c_c002143,1,1,7,1
1,d_d006717,8,1,3,1
1,d_d004020,7,2,6,1
1,d_d003360,7,1,5,3
6,d_d000639,5,2,4,3
3,d_d001586,10,2,4,3
1,d_d007759,7,2,3,1
1,b_b003123,8,1,3,1
1,d_d000010,1,2,4,1
1,d_d000187,1,1,5,1
2,d_d000743,2,1,2,1
1,d_d002253,1,2,4,1
1,d_d002687,8,2,3,1
1,d_d002864,1,1,5,1
4,d_d000179,7,2,4,3
1,d_d009416,8,2,3,1
1,d_d009189,7,2,3,1
2,d_d004068,2,1,1,1
3,a_a000887,5,1,4,1
4,d_d009281,2,1,1,1
2,d_d002774,2,2,4,1
2,d_d001621,2,2,4,1
2,a_a001722,1,2,6,3
1,a_a003540,1,2,4,1
2,a_a002022,2,2,3,1
