TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
a_a008115,A01,a008115,1;4;22;23;21;24;26;,2022-10-19,2022-10-21,대중교통 등,,4;1;22;23;21;24;26;,4;22;23
a_a018155,A01,a018155,1;6;22;,2022-11-08,2022-11-09,,,1;6;22;,3;6;22
a_a017959,A03,a017959,6;,2022-11-12,2022-11-13,,수도권 거주 40세 이상 자녀 동반,6;,1;5;11
a_a008616,A03,a008616,10;2;21;22;23;,2022-11-04,2022-11-07,자가용,,10;2;21;22;23;,21;10;22
a_a004611,A03,a004611,21;26;28;8;,2022-10-05,2022-10-07,자가용,,21;26;28;8;,8;21;28
a_a004227,A01,a004227,1;22;24;4;7;,2022-10-01,2022-10-03,대중교통 등,,1;22;24;4;7;,22;9;4
a_a007929,A01,a007929,1;2;24;26;9;,2022-10-30,2022-10-31,,수도권 거주 39세 이하 커플,1;2;24;26;9;,21;1;22
a_a009775,A03,a009775,1;24;27;4;6;,2022-10-22,2022-10-23,자가용,수도권 거주 39세 이하 커플,1;24;27;4;6;,9;22;1
a_a000260,A03,a000260,21;22;27;,2022-08-18,2022-08-21,자가용,,21;22;27;,27;21;1
a_a014409,A03,a014409,2;22;26;24;,2022-11-03,2022-11-04,자가용,수도권 거주 40세 이상 자녀 동반,2;22;26;24;,2;22;26
a_a005215,A03,a005215,21;24;27;,2022-10-07,2022-10-09,자가용,,21;24;27;,2;21;22
a_a007378,A01,a007378,11;22;5;9;,2022-10-15,2022-10-16,,,11;22;5;9;,5;11;22
a_a008446,A01,a008446,3;6;4;23;,2022-10-22,2022-10-24,대중교통 등,,3;6;4;23;,3;6;4
a_a001805,A01,a001805,1;22;24;26;4;,2022-09-24,2022-09-26,자가용,,1;22;24;26;4;,1;4;3
a_a002378,A01,a002378,1;2;3;5;6;,2022-09-22,2022-09-26,대중교통 등,,1;2;3;5;6;,2;6;22
