TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
d_d006711,블루하와이리조트,0,4,Y,2022-10-19 00:00:00.000,2022-10-21 00:00:00.000,5,,,제주특별자치도 제주시 한림읍 한림로 77,제주특별자치도 제주시 한림읍 금능리 2005,,,,1.0,295000,
d_d009414,제주센트럴시티호텔,2,1,Y,2022-11-01 00:00:00.000,2022-11-02 00:00:00.000,2,,제주센트럴시티호텔,제주특별자치도 제주시 노연로 66,제주특별자치도 제주시 연동 253-3,3349041.0,5011013700.0,2022-10-28 10:47:00.000,1.0,65000,
d_d001345,커먼스테이,1,8,Y,2022-09-26 00:00:00.000,2022-09-27 00:00:00.000,2,1168119477.0,(주)에픽브레인,서울 강서구 마곡중앙8로 71,,3155055.0,1150010500.0,2022-08-14 19:48:00.000,1.0,74750,커먼 스테이 / 10평형 스튜디오
d_d000092,더빌라스오션,0,3,Y,2022-08-05 00:00:00.000,2022-08-06 00:00:00.000,9,,,제주특별자치도 서귀포시 남원읍 태신해안로 271,제주특별자치도 서귀포시 남원읍 신흥리 125-6,,,,3.0,650000,
d_d002588,블루하와이리조트,0,4,Y,2022-10-28 00:00:00.000,2022-10-31 00:00:00.000,5,,,제주특별자치도 제주시 한림읍 한림로 77,제주특별자치도 제주시 한림읍 금능리 2005,,,,1.0,378660,
d_d006307,제주서우봉비치호텔,1,1,Y,2022-10-21 00:00:00.000,2022-10-23 00:00:00.000,3,1088535305.0,서우봉비치호텔,제주특별자치도 제주시 조천읍 함덕6길 10,,4849055.0,5011025924.0,2022-10-21 19:58:00.000,1.0,134400,
d_d009909,김군빌리지게스트하우스,0,7,N,2022-11-04 00:00:00.000,2022-11-05 00:00:00.000,2,,,제주특별자치도 제주시 어영길 1-1,제주특별자치도 제주시 용담삼동 2289-2,,,,5.0,50000,
d_d001430,대정시크릿풀빌라,0,3,Y,2022-09-11 00:00:00.000,2022-09-14 00:00:00.000,2,,,제주특별자치도 서귀포시 대정읍 노을해안로 216-6,제주특별자치도 서귀포시 대정읍 영락리 1551,,,,2.0,360000,
d_d003387,리본호텔,0,1,Y,2022-10-13 00:00:00.000,2022-10-14 00:00:00.000,2,,,전북 군산시 장미1길 21,전북 군산시 장미동 14-9,,,,4.0,57000,
d_d003536,다인리조트,1,4,Y,2022-10-05 00:00:00.000,2022-10-08 00:00:00.000,2,5248601528.0,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021.0,4113510300.0,2022-08-25 00:00:00.000,1.0,246750,다인리조트 디럭스트윈
c_c000590,쏘타컬렉션 더 여수,0,1,Y,2022-08-20 00:00:00.000,2022-08-23 00:00:00.000,2,,,전남 여수시 국동남6길 49-10,전남 여수시 국동 105,,,,1.0,150380,
d_d002274,에코랜드호텔,0,1,Y,2022-10-03 00:00:00.000,2022-10-04 00:00:00.000,3,,,제주특별자치도 제주시 조천읍 남조로 1982,제주특별자치도 제주시 조천읍 교래리 385-1,,,,1.0,333840,
d_d000487,서귀포JS호텔,0,1,Y,2022-09-01 00:00:00.000,2022-09-04 00:00:00.000,2,,,제주특별자치도 서귀포시 김정문화로 51,제주특별자치도 서귀포시 법환동 745-5,,,,1.0,280000,
d_d004002,제주푸른호텔,1,1,Y,2022-10-07 00:00:00.000,2022-10-08 00:00:00.000,2,7228602567.0,(주)제주푸른호텔,제주특별자치도 서귀포시 서호중로 47,제주특별자치도 서귀포시 서호동 1524-3,3350368.0,5013010300.0,2022-10-07 00:00:00.000,1.0,60000,호텔비
d_d009946,호텔리젠트마린,1,1,Y,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,2,7428600224.0,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004.0,1168010500.0,2022-10-18 00:00:00.000,1.0,110000,호텔 리젠트마린
d_d007630,바당고띠,1,3,Y,2022-10-27 00:00:00.000,2022-10-28 00:00:00.000,2,6162860578.0,바당고띠,제주특별자치도 제주시 월대3길 31,제주특별자치도 제주시 외도이동 334-5,4848518.0,5011012400.0,2022-10-28 19:11:00.000,3.0,92852,A-type
d_d001699,초롱민박,0,8,Y,2022-10-09 00:00:00.000,2022-10-10 00:00:00.000,2,,,제주특별자치도 서귀포시 성산읍 한도로242번길 10-19,제주특별자치도 서귀포시 성산읍 성산리 254-2,,,,3.0,30000,
d_d007871,제주542,0,3,Y,2022-10-30 00:00:00.000,2022-11-01 00:00:00.000,2,,,제주특별자치도 서귀포시 안덕면 사계로114번길 67,제주특별자치도 서귀포시 안덕면 사계리 542,,,,1.0,300000,
d_d010575,제이라움,10,3,,,,2,,제이라움,,,,,,1.0,141000,펜션비
d_d010373,아시아호텔,1,1,Y,2022-10-31 00:00:00.000,2022-11-02 00:00:00.000,2,1588802270.0,주식회사아시아코퍼레이,제주특별자치도 제주시 노연로 53,,3349041.0,5011012200.0,2022-10-31 16:41:00.000,1.0,125460,
d_d003290,제주901,10,3,,,,2,,제주901,제주시 1100로 2977-10,,,,,1.0,100000,펜션비
d_d000228,스테리나잇제주펜션,0,3,Y,2022-08-15 00:00:00.000,2022-08-16 00:00:00.000,2,,,제주특별자치도 제주시 애월읍 애월로 37,제주특별자치도 제주시 애월읍 애월리 2482-1,,,,1.0,139000,
d_d010850,빨간풍차펜션,1,3,Y,2022-11-05 00:00:00.000,2022-11-06 00:00:00.000,3,6634000049.0,빨간풍차펜션,제주특별자치도 제주시 구좌읍 김녕남2길 36,제주특별자치도 제주시 구좌읍 김녕리 3100,4847335.0,5011025634.0,2022-11-05 17:14:00.000,1.0,44100,
d_d004978,더 헤이든 레지던스,1,11,Y,2022-10-14 00:00:00.000,2022-10-16 00:00:00.000,1,,에어비앤비,,,,,2022-09-22 00:00:00.000,1.0,761730,
d_d001356,선창민박,0,8,Y,2022-09-28 00:00:00.000,2022-09-30 00:00:00.000,4,,,경북 울릉군 울릉읍 울릉순환로 164-6,경북 울릉군 울릉읍 저동리 54-2,,,,3.0,120000,
d_d000524,서귀포KAL호텔,1,1,Y,2022-08-27 00:00:00.000,2022-08-29 00:00:00.000,2,,TRIP.COM GROUP,,,,,2022-08-13 00:00:00.000,1.0,377884,서귀포 칼 호텔
d_d006057,파미유스파리조트,1,4,Y,2022-10-13 00:00:00.000,2022-10-14 00:00:00.000,3,,,,,,,2022-10-12 00:00:00.000,1.0,63000,로즈마리2(스파)
d_d002475,하도1558,1,11,Y,2022-10-19 00:00:00.000,2022-10-20 00:00:00.000,2,,AIRBNB,,,,,2022-10-06 00:00:00.000,1.0,127082," 집/아파트전체 .침대1개,게스트2명"
d_d004407,미르빌펜션&리조트,0,4,Y,2022-10-17 00:00:00.000,2022-10-18 00:00:00.000,2,,,제주특별자치도 서귀포시 안덕면 사계로114번길 87,제주특별자치도 서귀포시 안덕면 사계리 846,,,,1.0,75000,
a_a003218,엠제이호텔,1,1,Y,2022-10-04 00:00:00.000,2022-10-05 00:00:00.000,2,2208742885.0,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713.0,1168010600.0,2022-09-28 00:00:00.000,3.0,28800,제주MJ
d_d002525,호텔샬롬제주,1,1,Y,2022-10-05 00:00:00.000,2022-10-06 00:00:00.000,1,2208742885.0,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713.0,1168010600.0,2022-09-28 11:07:00.000,1.0,67000,호텔샬롬 제주
d_d000615,벨라유나,0,2,Y,2022-08-17 00:00:00.000,2022-08-18 00:00:00.000,2,,,제주특별자치도 제주시 조천읍 신북로 621,제주특별자치도 제주시 조천읍 함덕리 283,,,,5.0,45000,
c_c003326,엘도라도리조트,0,4,Y,2022-10-01 00:00:00.000,2022-10-03 00:00:00.000,2,,,전남 신안군 증도면 지도증도로 1766-15,전남 신안군 증도면 우전리 233-42,,,,5.0,560000,
