TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
c005115,29,여,60,5,1.0,3.0,1,3.0,,4,,2,2,46,46110,46,46710,46,46170,1,7,2,1,1,4,5,4,광주광역시,전남,3대 동반 여행(친척 포함),2022-10-26~2022-10-27,1.0,3.0,2.0,3
c011778,46,여,20,6,1.0,1.0,2,3.0,,4,6.0,2,2,46,46890,50,50130,45,45110,3,6,2,1,4,4,7,3,전라남도,광주,2인 여행(가족 외),2022-11-04~2022-11-05,3.0,1.0,6.0,1
c014245,46,여,20,4,1.0,1.0,4,3.0,,5,6.0,2,2,46,46110,45,45110,46,46150,4,2,3,2,4,3,1,6,전라남도,전남,2인 여행(가족 외),2022-11-12~2022-11-12,3.0,2.0,1.0,1
c005780,30,여,30,6,1.0,2.0,2,11.0,,4,6.0,2,1,50,50130,42,42210,26,26350,5,2,1,1,7,4,6,7,대전광역시,충남,2인 가족 여행,2022-10-08~2022-10-08,8.0,2.0,3.0,1
c010831,11,여,30,6,1.0,1.0,3,2.0,,6,11.0,2,1,42,42150,42,42830,50,50130,2,4,4,1,1,5,2,6,서울특별시,충북,2인 여행(가족 외),2022-10-29~2022-10-29,4.0,3.0,2.0,1
c013547,29,여,20,6,2.0,1.0,4,12.0,,1,6.0,2,1,46,46130,50,50110,46,46710,2,2,3,6,2,2,6,4,광주광역시,전남,나홀로 여행,2022-11-05~2022-11-06,1.0,2.0,7.0,0
c002778,41,남,30,6,1.0,2.0,4,3.0,,4,4.0,2,1,50,50110,42,42150,48,48220,4,4,4,5,3,3,5,6,경기도,전북,자녀 동반 여행,2022-10-01~2022-10-03,8.0,3.0,1.0,1
c011728,11,남,30,6,1.0,1.0,1,9.0,,4,,3,2,42,42150,26,26710,45,45110,2,3,2,1,3,4,4,6,서울특별시,전북,2인 여행(가족 외),2022-11-05~2022-11-06,3.0,1.0,2.0,1
c013176,46,여,40,6,1.0,2.0,2,3.0,,4,6.0,3,2,50,50130,46,46150,45,45110,2,6,2,2,2,6,2,5,전라남도,전남,자녀 동반 여행,2022-11-05~2022-11-05,2.0,1.0,3.0,2
c009049,30,여,20,6,1.0,1.0,1,3.0,,4,,4,1,50,50130,11,11380,50,50110,4,2,2,4,1,4,3,3,대전광역시,전북,2인 가족 여행,2022-10-29~2022-10-29,7.0,1.0,2.0,1
